t_sim;S_sim;I_sim;R_sim;R0_sim
221;0.894790839506173;0.00112333160493827;0.104085827160494;1.25
222;0.894528854054647;0.0011509622352683;0.104320130582684;1.25
223;0.894261982552398;0.00117904958301328;0.104558910347855;1.25
224;0.893995111050148;0.00120713693075826;0.104797690113025;1.25
225;0.893728239547899;0.00123522427850324;0.105036469878196;1.25
226;0.893456980750722;0.00126371923002887;0.105279252165544;1.25093840230991
227;0.893161985563041;0.00129441942252166;0.105543689124158;1.25695380173243
228;0.892866990375361;0.00132511961501444;0.105808126082772;1.26296920115496
229;0.89257199518768;0.00135581980750722;0.106072563041386;1.26898460057748
230;0.892277;0.00138652;0.106337;1.275
231;0.891948839506173;0.00143166962962963;0.10661950617284;1.3
232;0.891597396795786;0.00147979066827609;0.106922576319544;1.3
233;0.891237251947767;0.00152901265883902;0.107233560627675;1.3
234;0.890877107099748;0.00157823464940195;0.107544544935806;1.3
235;0.890516962251728;0.00162745663996489;0.107855529243937;1.3
236;0.890148700673725;0.00167768547641963;0.108173628488932;1.30093840230991
237;0.889736525505293;0.00173336160731473;0.108530221366699;1.30695380173244
238;0.889324350336862;0.00178903773820982;0.108886814244466;1.31296920115496
239;0.888912175168431;0.00184471386910491;0.109243407122233;1.31898460057748
240;0.8885;0.00190039;0.1096;1.325
241;0.888033160493827;0.00197790790123457;0.109989271604938;1.35
242;0.887524119280149;0.00206188098540547;0.110414270931636;1.35
243;0.886999374410183;0.00214825429825524;0.110852545923406;1.35
244;0.886474629540217;0.00223462761110502;0.111290820915176;1.35
245;0.885949884670251;0.00232100092395479;0.111729095906946;1.35
246;0.885405322156672;0.00241031221118662;0.112184251885595;1.35
247;0.884753541109701;0.00251551869315212;0.112730738331715;1.35
248;0.884101760062729;0.00262072517511762;0.113277224777836;1.35
249;0.883449979015757;0.00272593165708312;0.113823711223956;1.35
250;0.882798197968785;0.00283113813904861;0.114370197670077;1.35
251;0.882146416921813;0.00293634462101411;0.114916684116197;1.35
252;0.881494635874841;0.00304155110297961;0.115463170562318;1.35
253;0.880755603482307;0.00315893070562526;0.116084823205978;1.35
254;0.879914351543776;0.0032905717601861;0.116794537008318;1.35
255;0.879073099605245;0.00342221281474693;0.117504250810658;1.35
256;0.878231847666714;0.00355385386930777;0.118213964612999;1.35
257;0.877390595728183;0.0036854949238686;0.118923678415339;1.35
258;0.876549343789652;0.00381713597842944;0.119633392217679;1.35
259;0.875708091851121;0.00394877703299027;0.12034310602002;1.35
260;0.874824;0.00408613;0.12109;1.325
261;0.873879592592593;0.00419957037037037;0.121921061728395;1.3
262;0.872888262626263;0.00431679202020202;0.122795101010101;1.29520202020202
263;0.871879508417508;0.00443539134680134;0.123685067340067;1.28846801346801
264;0.870870754208754;0.00455399067340067;0.124575033670034;1.28173400673401
265;0.869862;0.00467259;0.125465;1.275
266;0.86883587654321;0.00475432888888889;0.126409691358025;1.25
267;0.86777904040404;0.00483628707070707;0.127384616161616;1.24520202020202
268;0.866711026936027;0.00491831804713805;0.128370744107744;1.23846801346801
269;0.865643013468013;0.00500034902356902;0.129356872053872;1.23173400673401
270;0.864575;0.00508238;0.130343;1.225
271;0.863516679012346;0.00511987234567901;0.131363827160494;1.2
272;0.862446626262626;0.00515537676767677;0.132398424242424;1.19520202020202
273;0.861372417508418;0.00519015117845118;0.133437616161616;1.18846801346801
274;0.860298208754209;0.00522492558922559;0.134476808080808;1.18173400673401
275;0.859224;0.0052597;0.135516;1.175
276;0.858187148148148;0.00524645024691358;0.136566160493827;1.15
277;0.857157787878788;0.00523097464646465;0.137610919191919;1.14520202020202
278;0.856131525252525;0.00521468643097643;0.138653612794613;1.13846801346801
279;0.855105262626263;0.00519839821548822;0.139696306397306;1.13173400673401
280;0.854079;0.00518211;0.140739;1.125
